,Family,Species
0,ACANTHACEAE,Carlowrightia arizonica
1,ACANTHACEAE,Justicia californica
2,AIZOACEAE,Mesembryanthemum nodiflorum
3,AIZOACEAE,Trianthema portulacastrum
4,AMARANTHACEAE,Amaranthus crassipes
5,AMARANTHACEAE,Amaranthus fimbriatus
6,AMARANTHACEAE,Amaranthus palmeri
7,AMARANTHACEAE,Atriplex canescens
8,AMARANTHACEAE,Atriplex elegans
9,AMARANTHACEAE,Atriplex linearis
10,AMARANTHACEAE,Atriplex pacifica
11,AMARANTHACEAE,Atriplex polycarpa
12,AMARANTHACEAE,Chenopodium murale
13,AMARANTHACEAE,Monolepis nuttalliana
14,AMARANTHACEAE,Salsola tragus
15,AMARANTHACEAE,Suaeda nigra
16,AMARANTHACEAE,Tidestromia lanuginosa
17,AMARYLLIDACEAE,Allium macropetalum
18,ANACARDIACEAE,Rhus kearneyi
19,APIACEAE,Bowlesia incana
20,APIACEAE,Daucus pusillus
21,APIACEAE,Eryngium nasturtiifolium
22,APIACEAE,Spermolepis echinata
23,APOCYNACEAE,Asclepias albicans
24,APOCYNACEAE,Asclepias erosa
25,APOCYNACEAE,Asclepias subulata
26,APOCYNACEAE,Funastrum hartwegii
27,APOCYNACEAE,Matelea parvifolia
28,APOCYNACEAE,Sarcostemma cynanchoides
29,ARISTOLOCHIACEAE,Aristolochia watsonii
30,ASPARAGACEAE,Agave deserti
31,ASPARAGACEAE,Dichelostemma capitatum
32,ASPARAGACEAE,Hesperocallis undulata
33,ASPARAGACEAE,Nolina bigelovii
34,ASPARAGACEAE,Triteleiopsis palmeri
35,ASTERACEAE,Acourtia wrightii
36,ASTERACEAE,Adenophyllum porophylloides
37,ASTERACEAE,Ambrosia ambrosioides
38,ASTERACEAE,Ambrosia confertiflora
39,ASTERACEAE,Ambrosia deltoidea
40,ASTERACEAE,Ambrosia dumosa
41,ASTERACEAE,Ambrosia ilicifolia
42,ASTERACEAE,Ambrosia monogyra
43,ASTERACEAE,Ambrosia salsola
44,ASTERACEAE,Arida arizonica
45,ASTERACEAE,Baccharis brachyphylla
46,ASTERACEAE,Baccharis salicifolia
47,ASTERACEAE,Baccharis sarothroides
48,ASTERACEAE,Bahiopsis parishii
49,ASTERACEAE,Baileya multiradiata
50,ASTERACEAE,Baileya pleniradiata
51,ASTERACEAE,Bebbia juncea
52,ASTERACEAE,Brickellia atractyloides
53,ASTERACEAE,Brickellia coulteri
54,ASTERACEAE,Calycoseris wrightii
55,ASTERACEAE,Centaurea melitensis
56,ASTERACEAE,Chaenactis carphoclinia
57,ASTERACEAE,Chaenactis fremontii
58,ASTERACEAE,Chaenactis stevioides
59,ASTERACEAE,Conyza canadensis
60,ASTERACEAE,Diaperia verna
61,ASTERACEAE,Encelia farinosa
62,ASTERACEAE,Encelia frutescens
63,ASTERACEAE,Erigeron sp.
64,ASTERACEAE,Erigeron canadensis
65,ASTERACEAE,Erigeron divergens
66,ASTERACEAE,Erigeron lobatus
67,ASTERACEAE,Eriophyllum lanosum
68,ASTERACEAE,Gaillardia arizonica
69,ASTERACEAE,Geraea canescens
70,ASTERACEAE,Gutierrezia arizonica
71,ASTERACEAE,Gutierrezia sarothrae
72,ASTERACEAE,Gymnosperma glutinosum
73,ASTERACEAE,Helianthus niveus
74,ASTERACEAE,Hymenothrix wislizeni
75,ASTERACEAE,Hymenoxys odorata
76,ASTERACEAE,Isocoma acradenia
77,ASTERACEAE,Isocoma coronopifolia
78,ASTERACEAE,Lactuca serriola
79,ASTERACEAE,Laennecia coulteri
80,ASTERACEAE,Logfia arizonica
81,ASTERACEAE,Logfia californica
82,ASTERACEAE,Logfia depressa
83,ASTERACEAE,Logfia filaginoides
84,ASTERACEAE,Malacothrix fendleri
85,ASTERACEAE,Malacothrix glabrata
86,ASTERACEAE,Malacothrix sonorae
87,ASTERACEAE,Monoptilon bellioides
88,ASTERACEAE,Oncosiphon piluliferum
89,ASTERACEAE,Palafoxia arida
90,ASTERACEAE,Pectis cylindrica
91,ASTERACEAE,Pectis papposa
92,ASTERACEAE,Perityle emoryi
93,ASTERACEAE,Peucephyllum schottii
94,ASTERACEAE,Pleurocoronis pluriseta
95,ASTERACEAE,Porophyllum gracile
96,ASTERACEAE,Prenanthella exigua
97,ASTERACEAE,Psathyrotes ramosissima
98,ASTERACEAE,Psilostrophe cooperi
99,ASTERACEAE,Rafinesquia californica
100,ASTERACEAE,Rafinesquia neomexicana
101,ASTERACEAE,Senecio lemmonii
