,Genus,Species,FNA,VPAP,SW Field Guide,Species name,Family,duration_consensus,nativity_sw,aquatic,lifeform,low_elev_m,high_elev_m
0,Carlowrightia,arizonica,,,"Wiggins 1964, Daniel 1984, Kearney and Peebles 1969 Duration : Perennial Nativity : Native Lifeform : Subshrub General : Subshrub 15-30 cm, or up to 1 m in the protection of a spiny shrub; much branched; often leafless. Stems slender and brittle, herbage densely pubescent with minute hairs and inconspicuous minute glands. Leaves : Quickly drought deciduous; sessile to petioled, blades mostly lanceolate, entire. Flowers : Corollas 1 cm in diameter, pealike, fall as unit, white with yellow eye and purple guide lines on upper lip, formed by 2 fused petals. Fruits : Capsule about 1 cm, glabrous, 4 seeds. Ecology : Found on dry rocky slopes from 2,500-4,000 ft (762-1219 m); flowers April-May. Distribution : Ranges from the SW US to northern Costa Rica Notes : Distinguished by its low-growing mostly leafless habit, densely pubescent stems, and showy white, pea-like flowers although there is considerable variation in appearance in different seasons or at different stages of growth. Corollas open at sunrise and fall by late morning with the heat of the day. The leaves are drought-deciduous and the the plant leafs out after summer rains. Grazed by rabbits, rodents, and livestock. Ethnobotany : The Mayo used it in a tea taken for fevers. Etymology : Carlowrightia is named for American botanist Charles (Carlos) Wright (1811-1885), and arizonica refers to Arizona. Synonyms : None Editor : SBuckley 2010, FSCoburn 2015",Carlowrightia arizonica,ACANTHACEAE,perennial,native,0,subshrub,762.0,1219.0
1,Justicia,californica,,,"Benson and Darrow 1981, Hickman 1993, Powell 1988, Kearny and Peebles 1979 Duration : Perennial Nativity : Native Lifeform : Shrub General : Small shrub to 2 m, generally leafless, or, when leaves are present, leaves fairly sparse, especially around the inflorescence. Stems and leaves pubescent with fine, short, white hairs, which give the stems a white appearance. The hairs are not easily visible to the naked eye. Leaves : Leaves ovate to lanceolate, bright green, simple, entire, opposite, and with noticeable venation on the underside of the leaf, to 2 cm long. Flowers : Flowers bright red, orange, or occasionally yellow, with an elongated corolla tube, lobes divided with a large lower lip, lower lip having 3 lobes, the upper lip with 2 lobes. Throat occasionally spotted or streaked with yellow. Sepals subulate and tapering. Stamens 2, the anthers having a hard, white, pointed tip. Fruits : An elongated, club-shaped capsule 1.5-2 cm, canescent, with an inflated tip. Seeds 4, rounded, mottled. Ecology : Found in dry, sandy, soils, in washes and canyons below 2,500 ft (762 m); flowers March-June. Distribution : s AZ, se CA; south to nw MEX Notes : Once the plant has flowered and dropped its leaves and capsules, look for the gray (darkening to brown in winter) pubescent stems and star-shaped sepal remnants to help identify this plant. Differentiate from J. candicans by looking at the anthers; J. californica has a short, hard, white basal point on it's lower anthers, this is absent on J. candicans. Also, the stems of J. californica are obscured by the dense pubescence, while J. candicans is pubescent, its stem is still visible. Ethnobotany : The flowers were sucked for their nectar. Etymology : Justicia is named after after James Justice (1698-1763), a Scottish botanist and horticulturist, son of Sir James Justice. He was apparently the first person to successfully bring a pineapple to the fruiting stage in Scotland, became involved in the tulip bulb craze and died bankrupt, while californica means of or from California. Synonyms : Beloperone californica, Jacobinia californica, Sericographis californica Editor : LCrumbacher, 2011",Justicia californica,ACANTHACEAE,perennial,native,0,shrub,0.0,762.0
2,Mesembryanthemum,nodiflorum,"Nancy J. Vivrette, John E. Bleck & Wayne R. Ferren Jr. in Flora of North America (vol. 4) Plants annual. Stems prostrate to ascending, branched from base, 15-20 cm, sessile. Leaves: blade ± terete, linear, 1-2 cm. Inflorescences axillary, flowers solitary, sessile or petiolate; bracts absent. Flowers 4-5 mm diam.; hypanthium obconic; calyx lobes 5, equal; petals 20, connate, white, aging yellow; stamens 10. Capsules finely papillate. Seeds 100, smooth to minutely tuberculate. 2 n = 36. Flowering spring-fall. Coastal bluffs, margins of saline wetlands; 0-100 m; introduced; Calif., N.J.; Mexico (Baja California); Europe (Mediterranean); Asia; Atlantic Islands; Australia.",,"FNA 2004 Duration : Annual Nativity : Non-Native Lifeform : Forb/Herb General : Introduced herbaceous annuals, stems sessile, 15-20 cm long, prostrate to ascending, branching from base, surfaces usually conspicuously papillate, glabrous. Leaves : Opposite or alternate, blades more or less terete, linear, 1-2 cm long, sessile or petiolate. Bracts absent. Flowers : White, aging yellow, 4-5 mm diameter, petals 20, connate into tubes, calyx lobes 5, equal, hypanthium obconic, aging red, stamens 10; flowers solitary, axillary, sessile or petiolate. Fruits : Capsules finely papillate. Seeds to 100, smooth to minutely tuberculate. Ecology : Found on coastal bluffs, margins of saline wetlands, from 0-350 ft (0-106 m); flowering spring-fall. Distribution : Introduced. Arizona, Oregon, California, New Jersey; Mexico. Notes : Look to the white to yellow flowers 4-5 mm in diameter and terete leaf blades to help distinguish this species from the similar M. crystallinum, which has flattened leaf blades and larger, white to pink flowers, these 7-10 mm in diameter. Ethnobotany : Unknown. Synonyms : Cryophytum nodoflorum, Gasoul nodiflorum Editor : LCrumbacher2012 Etymology : Mesembryanthemum is either; (1) derived from 2 words: mesos, ""middle,"" and embryon, ""fruit,"" indicating a flower with its fruit in the middle, and/or (2) afternoon-blooming. The original name was Mesembrianthemum, from mesembria or ""mid-day"" alluding to the belief that the species only bloomed in the sunlight. After night-blooming species were discovered, the spelling of the name was changed to its current form, while nodiflorum means with flowers borne from the nodes.",Mesembryanthemum nodiflorum,AIZOACEAE,annual,non-native,0,herb,0.0,106.0
3,Trianthema,portulacastrum,"Wayne R. Ferren Jr. in Flora of North America (vol. 4) Plants annual, succulent, usually glabrous. Stems prostrate or decumbent, diffusely branched, to 10 dm; young branches with lines of minute hairs proximal to petioles. Leaves: unequal pairs alternating along stem; stipules dilated at base; petiole usually equaling blade; blade elliptic to orbiculate, to 4 cm, apex obtuse, often notched, or apiculate. Inflorescences: flowers usually solitary, sessile, in axils of smaller leaves (bracts) of some pairs, partly covered by sheathing stipule of bracts; bracteoles connate, 1-1.5 mm, apex acute. Flowers: calyx 3-5 mm; calyx lobes purple adaxially, lanceolate, 2.5 mm; stamens 5-10. Capsules cylindric, ± curved, 4-5 mm, corky, basal portion appearing embedded in stem, apical portion containing 1 seed; apical wings 2, prominent, erect, crestlike. Seeds ca. 7, dull reddish brown to black, ridged, 1.5-2 mm. Flowering spring-fall. Moist or seasonally dry, usually open, wetlands including alkaline flats, playa lakes, banks of rivers, creeks, roadside depressions, beaches, disturbed areas including gardens, irrigated soils and ditches, fields, ballast, stockyards, sidewalks, railroad tracks; 0-1000 m; Ala., Ariz., Ark., Calif., Fla., Ga., La., Md., Miss., Mo., Nev., N.J., N.Mex., N.C., Okla., S.C., Tenn., Tex., Utah, Va.; Mexico; West Indies; Central America; South America; Africa. In Arizona, Trianthema portulacastrum is a host plant of the beet leafhopper (T. H. Kearney and R. H. Peebles 1960). Seed dispersal is achieved by several methods: one seed is dispersed in the detached cap of the capsule, which can float, and the other seeds are either dispersed individually from the capsule or remain on the annual, parent plant where they will germinate and establish new plants where the parent once grew or was deposited.",,"Kearney and Peebles 1969, FNA 2004, Correll and Johnston 1970 Duration : Annual Nativity : Native Lifeform : Forb/Herb General : Semisucculent annual herb, emerging during the monsoon season; stems weak and prostrate, 15–60 cm long, reddish green and glabrous. Leaves : Opposite along the stems, on wide succulent petioles; blades obovate to orbicular, 3–5 cm long on robust, young plants, and smaller and thicker, 2 cm long, on older plants; expanded petiole bases and stipules form a membranous sheath around stem. Flowers : Pink-purple and solitary in leaf axils, partly enclosed by the sheath formed by the petiole base; calyx lobes appearing petal-like, 2-3 mm long, pink with a green horn on the back near the tip ; petals absent. Fruits : Capsules cylindrical and curved, 4 mm long, with prominent crests; containing several seeds. Ecology : Found in disturbed areas and fields with sandy, gravelly, or rocky soils, from 1,000–4,000 ft (305–1219 m); flowers June–October. Distribution : sw US and n MEX Notes : This is a common summer annual of the low deserts. Look for it in weedy habitats such as desert washes and Tucson backyards. With its ground-hugging growth form and opposite, spoon-shaped, succulent leaves, it looks just like Portulaca oleracea at first glance. However, this species has tiny pinkish flowers (P. oleracea has yellow flowers); the capsules have 2 crests on top that look a bit like a pair of mouse ears; and the flowers and fruits are partly hidden in the leaf axils, where they are surrounded by a sheath formed by the base of the leaf petioles and stipules. Ethnobotany : Plants are cooked and eaten as greens in summer. Etymology : Trianthema is from Greek treis for three and anthemon for flower; portulacastrum means resembling the genus Portulaca. Editor : SBuckley 2010, FSCoburn 2015, AHazelton 2017",Trianthema portulacastrum,AIZOACEAE,annual,native,1,herb,0.0,1000.0
4,Amaranthus,crassipes,"Sergei L. Mosyakin & Kenneth R. Robertson in Flora of North America (vol. 4) Plants annual, glabrous. Stems prostrate or weakly ascending, erect when young, branched mostly from base, 0.1-0.6 m. Leaves: petiole nearly 1 /2 as long as blade; blade broadly elliptic, obovate, orbiculate, or oblanceolate, (0.5-)1-3(-4.5) × 0.3-2(-2.5) cm, base cuneate, margins entire, plane to undulate, apex broadly rounded or emarginate. Inflorescences axillary clusters borne from base to apex, axes much thickened, appearing inflated, becoming indurate at maturity (only in A. scleropoides and A. crassipes ). Bracts of pistillate flowers keeled (only A. scleropoides and A. crassipes have keeled bracts), deltate, 0.5-0.9 mm. Pistillate flowers: tepals (4-)5, narrowly spatulate, clawed, with small expanded blade, equal or subequal, 2-3 mm, apex rounded and apiculate; claws becoming indurate and scarious at maturity; style branches spreading; stigmas usually 2(-3), almost sessile. Staminate flowers intermixed with pistillate; tepals 5, membranaceous; stamens 3(-5). Utricles obovoid to compressed-obovoid, 1.4-2 mm, shorter than tepals, prominently muricate (especially in distal 1 /2), indehiscent. Seeds dark brownish or reddish black to black, compressed-ovoid to broadly lenticular, 1-1.4 mm diam., shiny. Flowering summer and fall. Open, seasonally wet flats, shores of water bodies, waste places, other disturbed habitats; 0-1300 m; Ala., Ariz., Fla., La., N.Mex., S.C., Tex.; ne Mexico; West Indies; n South America; occasionally introduced in other regions. Two varieties have been distinguished by J. Henrickson (1999) within Amaranthus crassipes : var. crassipes with leaf blades nearly orbiculate to ovate (obovate) and conspicuous veins on the green to yellow-green abaxial leaf surface; and var. warnockii (I. M. Johnston) Henrickson (= A. warnockii I. M. Johnston) with narrower oblanceolate grayish leaves with less distinct venation on the abaxial leaf surfaces. In Henrickson´s treatment, var. crassipes occurs mostly in the coastal areas (and is also reported for Arizona), while var. warnockii is reported from inland southwestern Texas and the Chihuahuan Desert region (Mexico: Coahuila, Chihuahua). We have not seen material of the new varieties and cannot evaluate their validity.",,,Amaranthus crassipes,AMARANTHACEAE,annual,non-native,0,herb,0.0,1300.0
5,Amaranthus,fimbriatus,"Sergei L. Mosyakin & Kenneth R. Robertson in Flora of North America (vol. 4) Plants glabrous. Stems erect or with lateral branches ascending, usually branched from base, main and lateral stems sparingly branched or simple, 0.3-0.7(-1) m. Leaves short-petiolate; petiole 1 /4- 1 /2 as long as blade; blade linear to narrowly lanceolate, (1-)2-6(-10) × 0.1-0.5(-1) cm, base narrowly cuneate, margins entire, plane, apex acute to mucronulate. Inflorescences mostly axillary clusters scattered from base to apex of plants, distally condensed in lax, unbranched, almost leafless, slender, terminal spikes, interrupted. Bracts of pistillate flowers ovate to ovate-lanceolate, 1-1.8 mm, shorter than tepals, about 1 /2 or less as long as tepals. Pistillate flowers: tepals 5, reflexed, fan-shaped to broadly spatulate, clawed, equal or subequal, 1.5-3.3 mm, margins fimbriate or denticulate, apex much expanded and obtuse; style branches erect to ± spreading; stigmas 3(-4). Staminate flowers: tepals 5, apex obtuse; stamens (2-)3. Utricles subglobose to obovate, 1.2-2 mm, shorter than tepals, rugose to nearly smooth, dehiscence regularly circumscissile. Seeds black or dark reddish brown, lenticular to broadly lenticular, 0.8-1 mm diam., shiny, smooth. 2 n = 34. Flowering summer-fall (in arid regions mostly after summer rains). Sandy, gravelly slopes, washes, semideserts, disturbed habitats; 500-1700 m; Ariz., Calif., N.Mex., Tex., Utah; n Mexico. Two varieties of Amaranthus fimbriatus have been recognized: var. fimbriatus , with tepals fimbriate at the apex, and var. denticulatus (= A. venulosus S. Watson), with denticulate or crenulate tepals. The latter is reported from Arizona and adjacent northern Mexico; it probably occurs more widely. A related species, Amaranthus chihuahuensis S. Watson, which occurs in Mexico (Chihuahua and Oaxaca), was reported from trans-Pecos Texas, but no reliable specimens were seen by C. F. Reed (1969b). The presence of that species in the United States needs confirmation, and its taxonomic identity remains obscure.",,"FNA 2003, Wiggins 1964, Kearney and Peebles 1969 Duration : Annual Nativity : Native Lifeform : Forb/Herb General : Glabrous annual herb, often with a reddish tinge; stems erect with lateral, ascending branches, usually branched from base; main and lateral stems sparingly branched or simple, 30-70 cm tall. Leaves : Alternate, short-petiolate, the petiole a quarter or half as long as blade; blade linear to narrowly lanceolate, 2-6 cm long by 0.1-0.5 cm wide, with a narrowly cuneate base, entire margins, and an acute to mucronulate apex. Flowers : Green and white or pink-tinged, in axiallary clusters scattered from base to apex of plant, and distally condensed in a terminal spike which is lax, unbranched, leafy below and almost leafless above, slender, and interrupted; bracts of pistillate flowers ovate to ovate-lanceolate, 1-2 mm, shorter than tepals; pistillate flowers with 5 tepals, the tepals reflexed, fan-shaped to broadly spatulate, clawed, equal or subequal, 1.5-3.5 mm, the margins fimbriate or denticulate; staminate flowers with 5 tepals, the tepal apices obtuse, and 3 stamens. Fruits : Subglobose to obovate utricles, 1-2 mm, shorter than tepals, rugose to nearly smooth, with circumscissile dehiscence; seeds black to dark reddish brown, lenticular, 0.8-1 mm diameter, shiny and smooth. Ecology : Found in sandy, gravelly slopes, washes, and disturbed habitats below 4,000 ft (1219 m); flowers August-November. Distribution : Ranges across the southwestern deserts from the Utah-Arizona border to Sinaloa. Notes : Similar to A. torreyi, which also has narrow leaves and axillary clusters of flowers grading into leafy terminal spikes. However, A. torreyi has shorter, often wider leaves, up to 2 cm wide, and pistillate tepals with entire margins. FNA recognizes two varieties of A. fimbriatus;  var. denticulatus, with denticulate or crenate tepals, appears to have a more southern distribution in s AZ and MEX, while var. fimbriatus, with fimbriate tepals, is found farther north. Ethnobotany : The seeds were ground into a flour and used to make as mush, while the leaves can be eaten as greens or potherbs. Synonyms : None Editor : SBuckley 2010, AHazelton 2015 Etymology : Amaranthus comes from the Greek amarantos, ""unfading,"" referring to the long-lasting flowers, while fimbriatus means fringed, referring to the tepals.",Amaranthus fimbriatus,AMARANTHACEAE,annual,native,0,herb,0.0,1700.0
6,Amaranthus,palmeri,"Sergei L. Mosyakin & Kenneth R. Robertson in Flora of North America (vol. 4) Plants glabrous or nearly so. Stems erect, branched, usually (0.3-)0.5-1.5(-3) m; proximal branches often ascending. Leaves: long-petiolate; blade obovate or rhombic-obovate to elliptic proximally, sometimes lanceolate distally, 1.5-7 × 1-3.5 cm, base broadly to narrowly cuneate, margins entire, plane, apex subobtuse to acute, usually with terminal mucro. Inflorescences terminal, linear spikes to panicles, usually drooping, occasionally erect, especially when young, with few axillary clusters, uninterrupted or interrupted in proximal part of plant. Bracts: of pistillate flowers with long-excurrent midrib, 4-6 mm, longer than tepals, apex acuminate or mucronulate; of staminate flowers, 4 mm, equaling or longer than outer tepals, apex long-acuminate. Pistillate flowers: tepals 1.7-3.8 mm , apex acuminate, mucronulate; style branches spreading; stigmas 2(-3). Staminate flowers: tepals 5, unequal, 2-4 mm, apex acute; inner tepals with prominent midrib excurrent as rigid spine, apex long-acuminate or mucronulate; stamens 5. Utricles tan to brown, occasionally reddish brown, obovoid to subglobose, 1.5-2 mm, shorter than tepals, at maturity walls thin, almost smooth or indistinctly rugose. Seeds dark reddish brown to brown, 1-1.2 mm diam., shiny. Flowering summer-fall, occasionally spring-winter in southern part of its native range. Streambanks, disturbed habitats, especially agricultural fields, railroads, waste areas, roadsides; 100-1000 m; Ont.; Ariz., Ark., Calif., Colo., Fla., Ga., Ill., Kans., Ky., La., Md., Mass., Miss., Mo., Nebr., Nev., N.J., N.Mex., N.Y., N.C., Ohio, Okla., Pa., S.C., Tenn., Tex., Utah, Va., W.Va., Wis.; Mexico; introduced Europe, Asia, and Australia. Originally native to the North American Southwest, from southern California to Texas and northern Mexico, Amaranthus palmeri at present is a successful invasive species, which is evident from its expansion both in eastern North America and overseas. Because of its rapid spread, the distribution data presented here are probably incomplete.",,"FNA 2003, Kearney and Peebles 1969, Wiggins 1964 Duration : Annual Nativity : Native Lifeform : Forb/Herb General : Annual herb, usually erect with a well-developed main axis, 0.2-3 m tall, the height and growth form highly variable depending on soil moisture; herbage glabrous or sparsely pubescent but not glandular. Leaves : Alternate and long-petiolate, the petioles 1-8 cm; blades mostly lanceolate, highly variable in size, 3-12 cm, the lower stem leaves largest and soon deciduous. Flowers : Green and white, occasionally pink-tinged, in terminal linear spikes, these leafless or nearly so, indeterminate, long, and slender, the tips usually drooping; also occasional short clusters of flowers in leaf axils. Plants dioeceous (separate male and female plants). Spikes composed of many small flower clusters, each cluster subtended by a bract. Pistillate bracts with long-excurrent midrib, 4-6 mm, longer than tepals; staminate bracts 4 mm, equaling or longer than outer tepals, apex long-acuminate. Pistillate flowers have tepals 2-4 mm, the apex acuminate or mucronulate. Staminate flowers have 5 unequal tepals, 2-4 mm, the apex acute; inner tepals have a prominent midrib, excurrent as rigid spine. Fruits : Circumscissile capsules, tan, red, or brown, subglobose, the walls thin and obscurely rugose; seeds less than 1 mm, obovoid-lenticular, red-brown to blackish and shiny when fully ripe. Ecology : Widespread weed, grows quickly in disturbed areas, abundant in river bottoms and irrigated land; 0-5,500 ft (1676 m); flowers summer-fall. Distribution : Originally native to the American southwest, now widespread across the N. Amer. from n MEX to CAN. Notes : Amaranthus species are notoriously difficult and commonly misidentified. Pay close attention to the following characters and take samples if unsure. A. palmeri distinguished by its erect, annual habit, which can reach 3 m tall in the right conditions; inflorescences of terminal, mostly-leafless spikes, some of these becoming large; occasional small glomerules of flowers but not well-developed spikes in the leaf axils; and male and female flowers on separate plants. Can appear similar to A. powellii and A. hybridus, but those species are monoecious (male and female flowers on the same plant), and have wider, erect spikes found on branch tips and in leaf axils. Ethnobotany : Amaranthus spp. all have similar medicinal qualities. Tea made from leaves is used to relieve stomach pain. Herb stimulates mucous membranes. Leaves mixed with lavender may be steeped in milk for infants that are undergoing continuous vomiting. It has been used for a longer than a millennium for food by various indigenous groups. The seeds are ground into meal and the leaves are high in vitamins and minerals, excellent as greens or cooked like spinach. Synonyms : None Editor : SBuckley 2010, FSCoburn 2014, AHazelton 2015 Etymology : Amaranthus comes from the Greek amarantos, ""unfading,"" referring to the long-lasting flowers; palmeri is an honorific for Edward Palmer (1829-1911) an American explorer and botanical collector.",Amaranthus palmeri,AMARANTHACEAE,annual,non-native,1,herb,100.0,1000.0
7,Atriplex,canescens,"Stanley L. Welsh in Flora of North America (vol. 4) Shrubs, dioecious or rarely monoecious, mainly 8-20 dm, as wide or wider, not especially armed. Leaves persistent, alternate, sessile or nearly so, blade linear to oblanceolate, oblong, or obovate, mainly 10-40 × 3-8 mm, margin entire, apex retuse to obtuse. Staminate flowers yellow (rarely brown), in clusters 2-3 mm wide, borne in panicles 3-15 cm. Pistillate flowers borne in panicles 5-40 cm. Fruiting bracteoles 8-25 mm, as wide, on stipes 1-8 mm, with 4 prominent wings extending the bract length, united throughout, wings dentate to entire, apex toothed, surface of wings and body smooth or reticulate. Seeds 1.5-2.5 mm wide. 2 n = 18, 36+. This species forms hybrids with Atriplex confertifolia and A . gardneri varieties (see var. bonnevillensis ). Materials from the vicinity of the type locality of the species in South Dakota are low subherbaceous plants that differ from our shrubby tall material. However, the type area is presently covered with water from a dam on the Missouri River, and it is not possible to exclude the possibility of A. canescens as it has been interpreted for the past century to have existed at that site during the Lewis and Clark Expedition, if that is indeed where the lectotype was collected.",,"FNA 2003, Heil et al 2013 Common Name : fourwing saltbush Duration : Perennial Nativity : Native Lifeform : Shrub General : Shrub, frequently 1.5-2 m, moundlike, much branched and drought-deciduous. Leaves : Alternate, sessile, gray-green, entire, narrowly spatulate to narrowly oblong, 5 cm long or less, salty tasting. Flowers : Inconspicuous, tiny, with male and female flowers on separate plants; staminate flowers yellow (rarely brown), in clusters 2-3 mm wide, borne in panicles 3-15 cm; pistillate flowers lacking a perianth, borne in panicles 5-40 cm. Fruits : Small seeds enclosed by 4-winged bracts, often 1-2 cm long and nearly as wide. Ecology : Found on sandy or gravelly soils, from desert scrub to pinon-juniper communities from 300-6,500 ft (100-1981 m); flowers spring and summer. Distribution : Most of western N. Amer. from Alberta south to CA and east to TX (disjunct in  Novia Scotia); south to s MEX; also in Australia. Notes : Common diecious shrub distinguished by the gray-green, often narrow leaves and distinctive 4-winged fruits. Browse for livestock, deer and antelope; seeds eaten by birds and rodents; very tolerant of saline soils. Traditionally placed in the goosefoot family (Chenopodiaceae), that entire family was recently lumped into Amaranthaceae. Ethnobotany : Seeds used for meal, yellow dye. Havasupai used it to make soap for washing hair and to treat itches and rashes. Hopi used the ashes as a substitute for baking soda. Navajo used it as an emetic, to treat ant bites, cough, and as a hair tonic. Etymology : Atriplex is the ancient Latin name for this plant, derived from the plant-s Greek name atraphaxes; canescens means covered with short gray or white hairs. Synonyms : None Editor : SBuckley 2010, FSCoburn 2015, AHazelton 2015",Atriplex canescens,AMARANTHACEAE,perennial,native,0,shrub,100.0,1981.0
8,Atriplex,elegans,"Stanley L. Welsh in Flora of North America (vol. 4) Herbs , annual (or sometimes perennial-). Stems ascending or procumbent to erect, stramineous or whitish, simple or much branched at base, obtusely angled in age, mainly 0.5-4.5 dm, slender or stout, scurfy to glabrate. Leaves many, subsessile or shortly petiolate; blade elliptic to spatulate, oblanceolate, oblong, or obovate, 5-30(-35) × 2-8(-12) mm, base cuneate to attenuate, margin entire or irregularly dentate, densely scurfy abaxially, usually green and glabrate adaxially. Staminate flowers with 3-5-parted perianth. Pistillate flowers intermixed with staminate in small axillary clusters. Fruiting bracteoles subsessile or short stipitate, orbiculate, strongly compressed, 2-4 mm and as wide, united except at thin margin, margin dentate, terminal teeth often prominent, faces smooth or with cristate appendages ( thornberi phase). Seeds brown, 1-1.5 mm wide.",,"Wiggins 1964, FNA 2004 Duration : Annual Nativity : Native Lifeform : Forb/Herb General : Annual, rarely perennial herb 5-45 cm tall, stems ascending or procumbent to erect, stramineous or whitish, simple or much branched at base, obtusely angled in age, slender or stout, scurfy to glabrate. Leaves : Many, alternate, subsessile or shortly petiolate; blade elliptic to spatulate, oblanceolate, oblong, or obovate 5-30 mm long by 2-8 mm wide, base cuneate to attenuate, margin entire or irregularly dentate, densely scurfy abaxially, usually green and glabrate adaxially. Flowers : Small and inconspicuous; staminate flowers with 3-5 parted perianth; pistillate flowers lacking a perianth, intermixed with staminate flowers in small axillary clusters. Fruits : Fruiting bracteoles subsessile or short stipulate, orbiculate, strongly compressed, 2-4 m long and wide, united except at thin margin, margin dentate, terminal teeth often prominent, faces smooth or with appendages; seeds brown, 1-1.5 mm wide. Ecology : Found in alluvial soils, ditchbanks, field edges, roadsides, washes, generally disturbed soil below 3,500 ft (1067 m); flowers March-August. Distribution : s CA, s NV, AZ, s UT, s NM, s TX; south to c MEX. Notes : Distinguished by being an annual with elliptic leaves that are white-scurfy on the bottom and green on top, with the whole plant being densely farinose, or covered with white mealy (-flour-like-) hairs. Especially identifiable when fruiting by the deeply toothed bracteoles that enclose the seed. Two varieties are recognized: var. elegans from the Chihuahuan to the Sonoran deserts, with bracteole margins dentate to incised with teeth to 0.5-1 mm; and var. fasiculata from the Mojave to Sonoran deserts, with finely toothed bracteole margins, 0.3-0.5 mm, and a strongly samara-like bracteole. Ethnobotany : Pima and Gila boiled the plant with cactus fruits and other foods, to contribute its salty flavor. Etymology : Atriplex is ancient the Latin name for the plant, derived from the plant-s Greek name atraphaxes; elegans means elegant. Synonyms : None Editor : SBuckley 2010, FSCoburn 2015, AHazelton 2015",Atriplex elegans,AMARANTHACEAE,annual,native,0,herb,0.0,1067.0
9,Atriplex,linearis,"Stanley L. Welsh in Flora of North America (vol. 4) Shrubs dioecious, erect, mainly 10-25 dm; branchlets slender, terete. Leaves sessile; blade narrowly linear-elliptic, 10-50 × 2-3 mm, firm, revolute, often acute apically. Staminate flowers in glomerules borne in slender interrupted mostly paniculate spikes. Pistillate flowers paniculate or in few-flowered axillary glomerules. Fruiting bracteoles sessile or subsessile, lanceolate to ovate, 4-6 mm, about as wide, each bract with a pair of thin wings 3 mm broad or less, irregularly dentate or laciniate, free tips of bracts much exceeding the wings. 2 n = 18. Flowering spring-fall. Saline deserts, with shadscale, Canotia, Yucca, Opuntia, Rhus, and Eriogonum ; 0-800 m; Ariz., Calif.; nw Mexico (Baja California, Sonora). Specimens of Atriplex canescens var. macilenta resemble A. linearis . The taxa have been placed together by some previous workers. Nevertheless, the stems of A. linearis are consistently more slender, the leaves proportionally narrower, and the bracts, though smaller, more closely simulate those of A. canescens . Its diploid nature signals a different evolutionary pathway than that for most of A. canescens, considered broadly. Narrow leaves occur within A. canescens , in the broad sense, sometimes with geographic correlation, sometimes not.",,"FNA 2003, Benson and Darrow 1981 Common Name : thinleaf fourwing saltbush Duration : Perennial Nativity : Native Lifeform : Shrub General : Shrub 1-2 m high and wide, branches slender and terete Leaves : Linear to narrowly oblong, the larger leaves often 1-3 cm by 2-4 mm, sessile. Flowers : Dioecious, enclosed in a sepal-like accrescent bracts, staminate flowers in glomerules borne in slender interrupted paniculate spikes, pistillate flowers paniculate or in few-flowered axillary glomerules. Fruits : Fruiting bracts 4-winged, often 5 mm and about as wide. Ecology : Found in dry places, sandy soils, dunes, flats, often saline soil below 3,000 ft (914 m); flowers May-July. Distribution : Ranges across Arizona and California and into northwest Mexico in Sonora and Baja California. Notes : Most floras identify this species as being below 2500 ft (762 m), the specimen was documented in inventory work at Tumacacori NHP.  FNA distinguishes this as still being A. linearis. Ethnobotany : Seeds used for meal, yellow dye. Havasupai used it to make soap for hair washing and to treat itches and rashes. Hopi used the ashes as a substitute for baking soda. Navajo used it as an emetic, to treat ant bites, cough, and as a hair tonic.  They also used it as feed for cattle, sheep and goats. Etymology : Atriplex is an old Latin name for this plant, linearis mean linear, or parallel sided. Synonyms : Atriplex canescens subsp. linearis, Atriplex canescens var. linearis Editor : SBuckley, 2010",Atriplex linearis,AMARANTHACEAE,perennial,native,0,shrub,0.0,914.0
