Family,ScientificName,ScientificNameAuthorship,Notes,TaxonId
ACANTHACEAE,"Carlowrightia arizonica","A. Gray",,1215
ACANTHACEAE,"Justicia californica","(Benth.) D. Gibson",,2568
AIZOACEAE,"Mesembryanthemum nodiflorum",L.,,2551
AIZOACEAE,"Trianthema portulacastrum",L.,,3476
AMARANTHACEAE,"Amaranthus crassipes",Schlecht.,,98
AMARANTHACEAE,"Amaranthus crassipes var. crassipes",Schltdl.,,71755
AMARANTHACEAE,"Amaranthus fimbriatus","(Torr.) Benth. ex S. Wats.",,100
AMARANTHACEAE,"Amaranthus palmeri","S. Watson",,104
AMARANTHACEAE,"Atriplex canescens","(Pursh) Nutt.",,127
AMARANTHACEAE,"Atriplex elegans","(Moq.) D. Dietr.",,130
AMARANTHACEAE,"Atriplex linearis","S. Watson",,14708
AMARANTHACEAE,"Atriplex pacifica","A. Nels.",,147
AMARANTHACEAE,"Atriplex polycarpa","(Torr.) S. Wats.",,149
AMARANTHACEAE,"Chenopodium murale",L.,,178
AMARANTHACEAE,"Monolepis nuttalliana","(Schult.) Greene",,89
AMARANTHACEAE,"Salsola tragus",L.,,3553
AMARANTHACEAE,"Suaeda nigra","(Raf.) J.F. Macbr.",,8766
AMARANTHACEAE,"Tidestromia lanuginosa","(Nutt.) Standl.",,1
AMARANTHACEAE,"Tidestromia lanuginosa subsp. eliassoniana","Sánch.Pino & Flores Olv.",,124684
AMARANTHACEAE,"Tidestromia lanuginosa var. eliassoniana","(Sánch.Pino & Flores Olv.) S.L.Welsh",,134780
AMARYLLIDACEAE,"Allium macropetalum",Rydb.,,3405
ANACARDIACEAE,"Rhus kearneyi",Barkl.,,3612
APIACEAE,"Bowlesia incana","Ruiz & Pav.",,2387
APIACEAE,"Daucus pusillus",Michx.,,2415
APIACEAE,"Eryngium nasturtiifolium","Juss. ex F. Delaroche",,2421
APIACEAE,"Spermolepis echinata","(Nutt. ex DC.) A. Heller",,2203
APOCYNACEAE,"Asclepias albicans","S. Wats.",,3755
APOCYNACEAE,"Asclepias erosa",Torr.,,3758
APOCYNACEAE,"Asclepias subulata",Decne.,,3798
