Family,ScientificName,ScientificNameAuthorship,Notes,TaxonId
ACANTHACEAE,"Anisacanthus thurberi","(Torr.) A. Gray",,2972
ACANTHACEAE,"Carlowrightia arizonica","A. Gray",,1215
ACANTHACEAE,"Justicia californica","(Benth.) D. Gibson",,2568
AIZOACEAE,"Trianthema portulacastrum",L.,,3476
AMARANTHACEAE,"Amaranthus blitoides","S. Watson",,95
AMARANTHACEAE,"Amaranthus hybridus",L.,,101
AMARANTHACEAE,"Amaranthus palmeri","S. Watson",,104
AMARANTHACEAE,"Atriplex hymenelytra","(Torr.) S. Watson",,133
AMARANTHACEAE,"Atriplex polycarpa","(Torr.) S. Wats.",,149
AMARANTHACEAE,"Chenopodium murale",L.,,178
AMARANTHACEAE,"Salsola tragus",L.,,3553
AMARANTHACEAE,"Tidestromia lanuginosa","(Nutt.) Standl.",,1
AMARANTHACEAE,"Tidestromia oblongifolia","(S. Wats.) Standl.",,16135
ANACARDIACEAE,"Rhus trilobata",Nutt.,,3616
ANACARDIACEAE,"Rhus trilobata var. anisophylla","(Greene) Jepson",,13969
APIACEAE,"Bowlesia incana","Ruiz & Pav.",,2387
APIACEAE,"Daucus pusillus",Michx.,,2415
APOCYNACEAE,"Asclepias albicans","S. Wats.",,3755
APOCYNACEAE,"Matelea parvifolia","(Torr.) Woods.",,3794
APOCYNACEAE,"Sarcostemma cynanchoides",Decne.,,3829
APOCYNACEAE,"Sarcostemma cynanchoides subsp. hartwegii","(Vail) R. Holm",,17368
ASPARAGACEAE,"Nolina bigelovii","(Torr.) S. Wats.",,190
ASTERACEAE,"Acourtia wrightii","(A. Gray) Reveal & R. M. King",,2735
ASTERACEAE,"Adenophyllum porophylloides","(A. Gray) Strother",,531
ASTERACEAE,"Ambrosia ambrosioides","(Cav.) W.W. Payne",,2749
ASTERACEAE,"Ambrosia dumosa","(A. Gray) W.W. Payne",,4
ASTERACEAE,"Ambrosia ilicifolia","(A. Gray) W.W. Payne",,10
ASTERACEAE,"Ambrosia salsola","(Torr. & A. Gray) Strother & B.G. Baldwin",,80
ASTERACEAE,"Baccharis sarothroides","A. Gray",,1364
ASTERACEAE,"Baileya multiradiata","Harv. & A. Gray",,2816
ASTERACEAE,"Baileya pleniradiata","Harv. & A. Gray",,2824
ASTERACEAE,"Brickellia atractyloides","A. Gray",,2839
ASTERACEAE,"Calycoseris wrightii","A. Gray",,2857
ASTERACEAE,"Centaurea melitensis",L.,,2870
ASTERACEAE,"Chaenactis stevioides","Hook. & Arn.",,2872
ASTERACEAE,"Erigeron divergens","Torr. & A. Gray",,1306
ASTERACEAE,"Erigeron lobatus","A. Nels.",,1313
