Family,ScientificName,ScientificNameAuthorship,Notes,TaxonId
ACANTHACEAE,"Justicia californica","(Benth.) D. Gibson",,2568
AMARANTHACEAE,"Amaranthus blitoides","S. Watson",,95
AMARANTHACEAE,"Atriplex canescens","(Pursh) Nutt.",,127
AMARANTHACEAE,"Atriplex canescens var. canescens","(Pursh) Nutt.",,12315
AMARANTHACEAE,"Atriplex elegans","(Moq.) D. Dietr.",,130
AMARANTHACEAE,"Chenopodium berlandieri",Moq.,,154
AMARANTHACEAE,"Chenopodium fremontii","S. Watson",,172
AMARANTHACEAE,"Chenopodium murale",L.,,178
AMARANTHACEAE,"Salsola tragus",L.,,3553
APIACEAE,"Bowlesia incana","Ruiz & Pav.",,2387
APIACEAE,"Daucus pusillus",Michx.,,2415
APIACEAE,"Lomatium nevadense","(S. Wats.) Coult. & Rose",,2337
APIACEAE,"Lomatium nevadense var. parishii","(Coult. & Rose) Jepson",,13334
APOCYNACEAE,"Asclepias nyctaginifolia","A. Gray",,3767
APOCYNACEAE,"Asclepias subulata",Decne.,,3798
APOCYNACEAE,"Cynanchum arizonicum","(A. Gray) Shinners",,974
APOCYNACEAE,"Sarcostemma cynanchoides",Decne.,,3829
APOCYNACEAE,"Sarcostemma cynanchoides subsp. hartwegii","(Vail) R. Holm",,17368
ARISTOLOCHIACEAE,"Aristolochia watsonii","Woot. & Standl.",,786
ASPARAGACEAE,"Agave deserti",Engelm.,,3058
ASPARAGACEAE,"Dichelostemma capitatum","(Benth.) Alph. Wood",,2884
ASPARAGACEAE,"Dichelostemma capitatum subsp. pauciflorum","(Torr.) G. Keator",,11364
ASPARAGACEAE,"Yucca baccata",Torr.,,2619
ASPARAGACEAE,"Yucca elata","(Engelm.) Engelm.",,2620
ASPARAGACEAE,"Yucca elata var. elata",,,14394
ASTERACEAE,"Acamptopappus sphaerocephalus","(Harv. & A. Gray) A. Gray",,2732
ASTERACEAE,"Acamptopappus sphaerocephalus var. sphaerocephalus",,,11993
ASTERACEAE,"Acourtia nana","(A. Gray) Reveal & R. M. King",,2733
ASTERACEAE,"Acourtia wrightii","(A. Gray) Reveal & R. M. King",,2735
ASTERACEAE,"Adenophyllum porophylloides","(A. Gray) Strother",,531
ASTERACEAE,"Ambrosia ambrosioides","(Cav.) W.W. Payne",,2749
ASTERACEAE,"Ambrosia confertiflora",DC.,,18
ASTERACEAE,"Ambrosia deltoidea","(Torr.) W.W. Payne",,2762
ASTERACEAE,"Ambrosia dumosa","(A. Gray) W.W. Payne",,4
ASTERACEAE,"Ambrosia monogyra","(Torr. & A. Gray) Strother & B.G.Baldwin",,56
ASTERACEAE,"Ambrosia salsola","(Torr. & A. Gray) Strother & B.G. Baldwin",,80
ASTERACEAE,"Artemisia ludoviciana",Nutt.,,1365
ASTERACEAE,"Artemisia ludoviciana subsp. sulcata","(Rydb.) Keck",,11162
ASTERACEAE,"Baccharis salicifolia","(Ruiz & Pav.) Pers.",,2528
ASTERACEAE,"Baccharis sarothroides","A. Gray",,1364
ASTERACEAE,"Bahiopsis parishii","(Greene) E.E. Schilling & Panero",,16343
ASTERACEAE,"Baileya multiradiata","Harv. & A. Gray",,2816
ASTERACEAE,"Brickellia coulteri","A. Gray",,2826
ASTERACEAE,"Calycoseris wrightii","A. Gray",,2857
ASTERACEAE,"Centaurea melitensis",L.,,2870
ASTERACEAE,"Chaenactis carphoclinia","A. Gray",,2867
ASTERACEAE,"Chaenactis stevioides","Hook. & Arn.",,2872
ASTERACEAE,"Cirsium neomexicanum","A. Gray",,42
ASTERACEAE,"Conyza canadensis","(L.) Cronquist",,3603
ASTERACEAE,"Conyza canadensis var. glabrata","(A. Gray) Cronquist",,12589
ASTERACEAE,"Dimorphotheca aurantiaca",DC.,,18964
ASTERACEAE,"Encelia farinosa","A. Gray ex Torr.",,3673
ASTERACEAE,"Encelia farinosa var. farinosa",,,12831
ASTERACEAE,"Encelia virginensis","A. Nels.",,15093
ASTERACEAE,"Encelia virginensis var. virginensis","A. Nelson",,12839
ASTERACEAE,"Ericameria laricifolia","(A. Gray) Shinners",,3665
ASTERACEAE,"Erigeron accedens",Greene,,171932
ASTERACEAE,"Erigeron oxyphyllus",Greene,,1318
ASTERACEAE,"Eriophyllum lanosum","(A. Gray) A. Gray",,6817
ASTERACEAE,"Eriophyllum pringlei","A. Gray",,3683
ASTERACEAE,"Evax multicaulis",Dc.,,11030
ASTERACEAE,"Filago arizonica","A. Gray",,3686
ASTERACEAE,"Filago californica",Nutt.,,3687
ASTERACEAE,"Gnaphalium palustre",Nutt.,,2808
ASTERACEAE,"Gutierrezia sarothrae","(Pursh) Britton & Rusby",,3746
ASTERACEAE,"Helianthus annuus",L.,,2795
ASTERACEAE,"Heterotheca subaxillaris","(Lam.) Britton & Rusby",,3825
ASTERACEAE,"Isocoma acradenia","(Greene) Greene",,4000
ASTERACEAE,"Lactuca serriola",L.,,2790
ASTERACEAE,"Laennecia coulteri","(A. Gray) G.L. Nesom",,4027
ASTERACEAE,"Lasthenia californica","DC. ex Lindl.",,4033
ASTERACEAE,"Layia glandulosa","(Hook.) Hook. & Arn.",,3901
ASTERACEAE,"Matricaria discoidea",DC.,,1138
ASTERACEAE,"Melampodium leucanthum","Torr. & A. Gray",,2385
ASTERACEAE,"Monoptilon bellioides","(A. Gray) Hall",,2312
ASTERACEAE,"Pectis papposa","Harv. & A. Gray",,2329
ASTERACEAE,"Pectis papposa var. papposa","Harv. & A. Gray",,13692
ASTERACEAE,"Perityle emoryi",Torr.,,2275
ASTERACEAE,"Pluchea sericea","(Nutt.) Coville",,344
ASTERACEAE,"Porophyllum gracile",Benth.,,2284
ASTERACEAE,"Psilostrophe cooperi","(A. Gray) Greene",,2221
