Family,ScientificName,ScientificNameAuthorship,Notes,TaxonId
ACANTHACEAE,"Anisacanthus thurberi","(Torr.) A. Gray",,2972
ACANTHACEAE,"Carlowrightia arizonica","A. Gray",,1215
ACANTHACEAE,"Dicliptera resupinata","(Vahl) Juss.",,2885
ACANTHACEAE,"Justicia californica","(Benth.) D. Gibson",,2568
ACANTHACEAE,"Justicia candicans","(Nees) L. Benson",,2969
ACANTHACEAE,"Justicia longii",Hilsenb.,,10963
ACANTHACEAE,"Ruellia nudiflora","(Engelm. & A. Gray) Urb.",,2569
AIZOACEAE,"Mesembryanthemum crystallinum",L.,,2550
AIZOACEAE,"Mesembryanthemum nodiflorum",L.,,2551
AIZOACEAE,"Trianthema portulacastrum",L.,,3476
AMARANTHACEAE,"Amaranthus albus",L.,,93
AMARANTHACEAE,"Amaranthus crassipes",Schlecht.,,98
AMARANTHACEAE,"Amaranthus crassipes var. crassipes",Schltdl.,,71755
AMARANTHACEAE,"Amaranthus fimbriatus","(Torr.) Benth. ex S. Wats.",,100
AMARANTHACEAE,"Amaranthus palmeri","S. Watson",,104
AMARANTHACEAE,"Amaranthus x tucsonensis",J.Henrickson,,26541
AMARANTHACEAE,"Atriplex canescens","(Pursh) Nutt.",,127
AMARANTHACEAE,"Atriplex elegans","(Moq.) D. Dietr.",,130
AMARANTHACEAE,"Atriplex lentiformis","(Torr.) S. Watson",,134
AMARANTHACEAE,"Atriplex lentiformis subsp. lentiformis",,,11199
AMARANTHACEAE,"Atriplex linearis","S. Watson",,14708
AMARANTHACEAE,"Atriplex pacifica","A. Nels.",,147
AMARANTHACEAE,"Atriplex polycarpa","(Torr.) S. Wats.",,149
AMARANTHACEAE,"Bassia hyssopifolia","(Pallas) Kuntz",,150
AMARANTHACEAE,"Chenopodium murale",L.,,178
AMARANTHACEAE,"Chenopodium watsonii","A. Nels.",,21
AMARANTHACEAE,"Gomphrena sonorae",Torr.,,2754
AMARANTHACEAE,"Monolepis nuttalliana","(Schult.) Greene",,89
AMARANTHACEAE,"Nitrophila occidentalis","(Moq.) S. Wats.",,90
AMARANTHACEAE,"Salsola tragus",L.,,3553
AMARANTHACEAE,"Suaeda nigra","(Raf.) J.F. Macbr.",,8766
AMARANTHACEAE,"Tidestromia lanuginosa","(Nutt.) Standl.",,1
AMARANTHACEAE,"Tidestromia lanuginosa subsp. eliassoniana","Sánch.Pino & Flores Olv.",,124684
AMARYLLIDACEAE,"Allium macropetalum",Rydb.,,3405
AMARYLLIDACEAE,"Zephyranthes longifolia",Hemsl.,,271
ANACARDIACEAE,"Rhus aromatica",Aiton,,3610
