Family,ScientificName,ScientificNameAuthorship,Notes,TaxonId
ACANTHACEAE,"Justicia californica","(Benth.) D. Gibson",,2568
AIZOACEAE,"Trianthema portulacastrum",L.,,3476
AMARANTHACEAE,"Amaranthus albus",L.,,93
AMARANTHACEAE,"Amaranthus fimbriatus","(Torr.) Benth. ex S. Wats.",,100
AMARANTHACEAE,"Amaranthus fimbriatus var. fimbriatus",,,12051
AMARANTHACEAE,"Amaranthus obcordatus","(A. Gray) Standl.",,103
AMARANTHACEAE,"Amaranthus palmeri","S. Watson",,104
AMARANTHACEAE,"Atriplex elegans","(Moq.) D. Dietr.",,130
AMARANTHACEAE,"Atriplex elegans var. elegans",,,12318
AMARANTHACEAE,"Atriplex elegans var. fasciculata","(S. Wats.) M.E. Jones",,12319
AMARANTHACEAE,"Atriplex polycarpa","(Torr.) S. Wats.",,149
AMARANTHACEAE,"Chenopodium ambrosioides",L.,,151
AMARANTHACEAE,"Chenopodium ambrosioides var. ambrosioides",Thell.,,12483
AMARANTHACEAE,"Chenopodium berlandieri",Moq.,,154
AMARANTHACEAE,"Chenopodium berlandieri var. zschackii","(J. Murr) J. Murr ex Aschers.",,12490
AMARANTHACEAE,"Chenopodium leptophyllum","(Moq.) Nutt. ex S. Wats.",,177
AMARANTHACEAE,"Chenopodium murale",L.,,178
AMARANTHACEAE,"Dysphania ambrosioides","(L.) Mosyakin & Clemants",,11016
AMARANTHACEAE,"Monolepis nuttalliana","(Schult.) Greene",,89
AMARANTHACEAE,"Salsola paulsenii",Litv.,,24
AMARANTHACEAE,"Salsola tragus",L.,,3553
AMARANTHACEAE,"Suaeda moquinii","(Torr.) Greene",,501
AMARANTHACEAE,"Tidestromia lanuginosa","(Nutt.) Standl.",,1
APIACEAE,"Bowlesia incana","Ruiz & Pav.",,2387
APIACEAE,"Daucus pusillus",Michx.,,2415
APOCYNACEAE,"Cynanchum arizonicum","(A. Gray) Shinners",,974
APOCYNACEAE,"Matelea parvifolia","(Torr.) Woods.",,3794
APOCYNACEAE,"Sarcostemma cynanchoides",Decne.,,3829
APOCYNACEAE,"Sarcostemma cynanchoides subsp. hartwegii","(Vail) R. Holm",,17368
ARACEAE,"Lemna gibba",L.,,3363
ARECACEAE,"Phoenix dactylifera",L.,,3308
ASPARAGACEAE,"Agave deserti",Engelm.,,3058
ASPARAGACEAE,"Agave deserti subsp. simplex",Gentry,,11116
ASPARAGACEAE,"Dichelostemma capitatum","(Benth.) Alph. Wood",,2884
ASPARAGACEAE,"Dichelostemma capitatum subsp. capitatum",,,11363
ASPARAGACEAE,"Hesperocallis undulata","A. Gray",,3540
ASTERACEAE,"Acourtia wrightii","(A. Gray) Reveal & R. M. King",,2735
ASTERACEAE,"Adenophyllum porophylloides","(A. Gray) Strother",,531
ASTERACEAE,"Ambrosia ambrosioides","(Cav.) W.W. Payne",,2749
ASTERACEAE,"Ambrosia confertiflora",DC.,,18
ASTERACEAE,"Ambrosia deltoidea","(Torr.) W.W. Payne",,2762
ASTERACEAE,"Ambrosia dumosa","(A. Gray) W.W. Payne",,4
ASTERACEAE,"Ambrosia monogyra","(Torr. & A. Gray) Strother & B.G.Baldwin",,56
ASTERACEAE,"Ambrosia salsola","(Torr. & A. Gray) Strother & B.G. Baldwin",,80
ASTERACEAE,"Baccharis salicifolia","(Ruiz & Pav.) Pers.",,2528
ASTERACEAE,"Baccharis sarothroides","A. Gray",,1364
ASTERACEAE,"Bahiopsis parishii","(Greene) E.E. Schilling & Panero",,16343
ASTERACEAE,"Baileya pleniradiata","Harv. & A. Gray",,2824
ASTERACEAE,"Bebbia juncea","(Benth.) Greene",,2821
ASTERACEAE,"Bebbia juncea var. aspera",Greene,,12331
ASTERACEAE,"Brickellia atractyloides","A. Gray",,2839
ASTERACEAE,"Calycoseris wrightii","A. Gray",,2857
ASTERACEAE,"Centaurea melitensis",L.,,2870
ASTERACEAE,"Chaenactis stevioides","Hook. & Arn.",,2872
ASTERACEAE,"Conyza canadensis","(L.) Cronquist",,3603
ASTERACEAE,"Conyza canadensis var. glabrata","(A. Gray) Cronquist",,12589
