Family,ScientificName,ScientificNameAuthorship,Notes,TaxonId
ACANTHACEAE,"Anisacanthus thurberi","(Torr.) A. Gray",,2972
ACANTHACEAE,"Carlowrightia arizonica","A. Gray",,1215
ACANTHACEAE,"Justicia californica","(Benth.) D. Gibson",,2568
ACANTHACEAE,"Justicia longii",Hilsenb.,,10963
ACANTHACEAE,"Ruellia ciliatiflora",Hook.,,99347
ACANTHACEAE,"Ruellia nudiflora","(Engelm. & A. Gray) Urb.",,2569
AIZOACEAE,"Trianthema portulacastrum",L.,,3476
AMARANTHACEAE,"Amaranthus fimbriatus","(Torr.) Benth. ex S. Wats.",,100
AMARANTHACEAE,"Amaranthus fimbriatus var. denticulatus","(Torr.) Uline & Bray",,12050
AMARANTHACEAE,"Amaranthus fimbriatus var. fimbriatus",,,12051
AMARANTHACEAE,"Amaranthus palmeri","S. Watson",,104
AMARANTHACEAE,"Amaranthus x tucsonensis",J.Henrickson,,26541
AMARANTHACEAE,"Atriplex canescens","(Pursh) Nutt.",,127
AMARANTHACEAE,"Atriplex canescens var. linearis","(S. Watson) Munz",,12316
AMARANTHACEAE,"Atriplex elegans","(Moq.) D. Dietr.",,130
AMARANTHACEAE,"Atriplex elegans var. elegans",,,12318
AMARANTHACEAE,"Atriplex lentiformis","(Torr.) S. Watson",,134
AMARANTHACEAE,"Atriplex lentiformis subsp. lentiformis",,,11199
AMARANTHACEAE,"Atriplex polycarpa","(Torr.) S. Wats.",,149
AMARANTHACEAE,"Chenopodium berlandieri",Moq.,,154
AMARANTHACEAE,"Chenopodium incanum","(S. Watson) A. Heller",,176
AMARANTHACEAE,"Chenopodium murale",L.,,178
AMARANTHACEAE,"Chenopodium neomexicanum",Standl.,,179
AMARANTHACEAE,"Chenopodium palmeri",Standl.,,77822
AMARANTHACEAE,"Chenopodium sonorense","Benet-Pierce & M. G. Simpson",,308562
AMARANTHACEAE,"Gomphrena sonorae",Torr.,,2754
AMARANTHACEAE,"Monolepis nuttalliana","(Schult.) Greene",,89
AMARANTHACEAE,"Salsola tragus",L.,,3553
AMARANTHACEAE,"Tidestromia lanuginosa","(Nutt.) Standl.",,1
AMARYLLIDACEAE,"Allium macropetalum",Rydb.,,3405
AMARYLLIDACEAE,"Zephyranthes longifolia",Hemsl.,,271
ANACARDIACEAE,"Rhus aromatica",Aiton,,3610
ANACARDIACEAE,"Rhus lancea",L.f.,,72
ANACARDIACEAE,"Rhus trilobata",Nutt.,,3616
ANACARDIACEAE,"Rhus trilobata var. pilosissima",Engelm.,,13971
APIACEAE,"Bowlesia incana","Ruiz & Pav.",,2387
