Family,ScientificName,ScientificNameAuthorship,Notes,TaxonId
ACANTHACEAE,"Anisacanthus thurberi","(Torr.) A. Gray",,2972
ACANTHACEAE,"Carlowrightia arizonica","A. Gray",,1215
ACANTHACEAE,"Justicia longii",Hilsenb.,,10963
ACANTHACEAE,"Ruellia ciliatiflora",Hook.,,99347
AIZOACEAE,"Trianthema portulacastrum",L.,,3476
AMARANTHACEAE,"Amaranthus fimbriatus","(Torr.) Benth. ex S. Wats.",,100
AMARANTHACEAE,"Amaranthus palmeri","S. Watson",,104
AMARANTHACEAE,"Amaranthus x tucsonensis",J.Henrickson,,26541
AMARANTHACEAE,"Atriplex canescens","(Pursh) Nutt.",,127
AMARANTHACEAE,"Chenopodium fremontii","S. Watson",,172
AMARANTHACEAE,"Chenopodium murale",L.,,178
AMARANTHACEAE,"Chenopodium sonorense","Benet-Pierce & M. G. Simpson",,308562
AMARANTHACEAE,"Monolepis nuttalliana","(Schult.) Greene",,89
AMARANTHACEAE,"Salsola kali",L.,,22
AMARANTHACEAE,"Salsola tragus",L.,,3553
AMARANTHACEAE,"Tidestromia lanuginosa","(Nutt.) Standl.",,1
AMARYLLIDACEAE,"Allium macropetalum",Rydb.,,3405
ANACARDIACEAE,"Rhus lancea",L.f.,,72
APIACEAE,"Bowlesia incana","Ruiz & Pav.",,2387
APIACEAE,"Daucus pusillus",Michx.,,2415
APIACEAE,"Spermolepis echinata","(Nutt. ex DC.) A. Heller",,2203
APIACEAE,"Spermolepis lateriflora","G.L. Nesom",,308044
APIACEAE,"Yabea microcarpa","(Hook. & Arn.) K.-Pol.",,2236
APOCYNACEAE,"Asclepias nyctaginifolia","A. Gray",,3767
APOCYNACEAE,"Cynanchum arizonicum","(A. Gray) Shinners",,974
APOCYNACEAE,"Funastrum hartwegii","(Vail) Schltr.",,129532
APOCYNACEAE,"Haplophyton cimicidum","auct. non A. DC.",,9660
APOCYNACEAE,"Haplophyton cimicidum var. crooksii","L. Benson",,9933
APOCYNACEAE,"Matelea parvifolia","(Torr.) Woods.",,3794
APOCYNACEAE,"Metastelma arizonicum","A. Gray",,10494
APOCYNACEAE,"Sarcostemma cynanchoides",Decne.,,3829
ARISTOLOCHIACEAE,"Aristolochia watsonii","Woot. & Standl.",,786
ASPARAGACEAE,"Agave americana",L.,,3055
ASPARAGACEAE,"Dichelostemma capitatum","(Benth.) Alph. Wood",,2884
ASPARAGACEAE,"Dichelostemma capitatum subsp. pauciflorum","(Torr.) G. Keator",,11364
ASPARAGACEAE,"Dichelostemma pulchellum","(Salisb.) Heller",,15034
