Family,ScientificName,ScientificNameAuthorship,Notes,TaxonId
ACANTHACEAE,"Carlowrightia arizonica","A. Gray",,1215
AMARANTHACEAE,"Amaranthus crassipes",Schlecht.,,98
AMARANTHACEAE,"Amaranthus fimbriatus","(Torr.) Benth. ex S. Wats.",,100
AMARANTHACEAE,"Amaranthus fimbriatus var. fimbriatus",,,12051
AMARANTHACEAE,"Amaranthus obcordatus","(A. Gray) Standl.",,103
AMARANTHACEAE,"Amaranthus palmeri","S. Watson",,104
AMARANTHACEAE,"Atriplex canescens","(Pursh) Nutt.",,127
AMARANTHACEAE,"Atriplex canescens var. canescens","(Pursh) Nutt.",,12315
AMARANTHACEAE,"Atriplex elegans","(Moq.) D. Dietr.",,130
AMARANTHACEAE,"Chenopodium leptophyllum","(Moq.) Nutt. ex S. Wats.",,177
AMARANTHACEAE,"Chenopodium murale",L.,,178
AMARANTHACEAE,"Salsola tragus",L.,,3553
AMARANTHACEAE,"Tidestromia lanuginosa","(Nutt.) Standl.",,1
ANACARDIACEAE,"Rhus aromatica",Aiton,,3610
APIACEAE,"Bowlesia incana","Ruiz & Pav.",,2387
APIACEAE,"Daucus pusillus",Michx.,,2415
APIACEAE,"Yabea microcarpa","(Hook. & Arn.) K.-Pol.",,2236
APOCYNACEAE,"Matelea parvifolia","(Torr.) Woods.",,3794
APOCYNACEAE,"Metastelma arizonicum","A. Gray",,10494
APOCYNACEAE,"Sarcostemma cynanchoides",Decne.,,3829
APOCYNACEAE,"Sarcostemma cynanchoides subsp. hartwegii","(Vail) R. Holm",,17368
ARISTOLOCHIACEAE,"Aristolochia watsonii","Woot. & Standl.",,786
ASPARAGACEAE,"Agave deserti",Engelm.,,3058
ASPARAGACEAE,"Dichelostemma capitatum","(Benth.) Alph. Wood",,2884
ASPARAGACEAE,"Dichelostemma capitatum subsp. pauciflorum","(Torr.) G. Keator",,11364
ASPARAGACEAE,"Hesperocallis undulata","A. Gray",,3540
ASTERACEAE,"Acamptopappus sphaerocephalus","(Harv. & A. Gray) A. Gray",,2732
ASTERACEAE,"Acourtia wrightii","(A. Gray) Reveal & R. M. King",,2735
ASTERACEAE,"Adenophyllum porophylloides","(A. Gray) Strother",,531
ASTERACEAE,"Ambrosia ambrosioides","(Cav.) W.W. Payne",,2749
ASTERACEAE,"Ambrosia confertiflora",DC.,,18
