,Scientific Name,Common Name,Duration,Habit,Sun,Water
2,Abies amabilis,"Pacific Silver Fir, Cascade Fir, Lovely Fir, White Fir, Red fir",Perennial,Tree,Shade,Moist
3,Abies balsamea,"Balsam Fir, Blister Pine, Northern Balsam",Perennial,Tree,"Sun, Shade, Part-shade",Moist
4,Abies fraseri,"Fraser Fir, She-balsam",Perennial,Tree,Shade,
5,Abies grandis,"Grand Fir, Giant Fir",Perennial,Tree,"Shade, Part-shade","Moist, Dry"
6,Abies lasiocarpa,Subalpine Fir,Perennial,Tree,"Sun, Shade, Part-shade",Moist
7,Abies procera,Noble Fir,Perennial,Tree,Sun,Moist
8,Acalypha gracilens,Slender Threeseed Mercury,Annual,Herb,"Sun, Part-shade","Moist, Dry"
9,Acalypha rhomboidea,"Common Threeseed Mercury, Virginia Threeseed Mercury",Annual,Herb,"Sun, Part-shade","Moist, Dry"
10,Acalypha virginica,Virginia Threeseed Mercury,Annual,Herb,Part-shade,
11,Acanthocereus tetragonus,"Triangle Cactus, Barbed-wire Cactus, Chaco",Perennial,Cactus/Succulent,Part-shade,"Moist, Dry"
12,Acer circinatum,"Oregon Vine Maple, Vine Maple",Perennial,"Shrub, Tree","Shade, Part-shade",Moist
13,Acer glabrum,Rocky Mountain Maple,Perennial,Tree,Sun,
14,Acer grandidentatum,"Bigtooth Maple, Big-toothed Maple, Uvalde Bigtooth Maple, Southwestern Bigtooth Maple, Canyon Maple, Sabinal Maple, Western Sugar Maple",Perennial,"Shrub, Tree",Sun,Moist
15,Acer macrophyllum,"Bigleaf Maple, Big-leaf Maple",Perennial,Tree,"Sun, Shade, Part-shade","Moist, Dry"
16,Acer negundo,"Box Elder, Box Elder Maple, Ash-leaved Maple, Ashleaf Maple, Red River Maple, Fresno De Guajuco",Perennial,Tree,Sun,Moist
17,Acer nigrum,Black Maple,Perennial,Tree,"Shade, Part-shade",Moist
18,Acer pensylvanicum,"Striped Maple, Moosewood",Perennial,Tree,"Shade, Part-shade",Moist
19,Acer rubrum,"Red Maple, Scarlet Maple, Soft Maple",Perennial,Tree,"Sun, Part-shade",Moist
20,Acer saccharinum,"Silver Maple, Soft Maple, White Maple",Perennial,Tree,"Sun, Shade, Part-shade",Moist
